Country,Year,Country Code,EPI
Estonia,2022,EST,61.4
Luxembourg,2022,LUX,72.3
Germany,2022,DEU,62.4
Estonia,2020,EST,65.3
Luxembourg,2020,LUX,82.3
Germany,2020,DEU,77.2
Estonia,2018,EST,64.31
Luxembourg,2018,LUX,79.12
Germany,2018,DEU,78.37
Estonia,2016,EST,88.59
Luxembourg,2016,LUX,86.58
Germany,2016,DEU,84.26
Estonia,2014,EST,74.66
Luxembourg,2014,LUX,83.29
Germany,2014,DEU,80.47
